2025-09-20 18:13:50,423 - models.lstm_health_model - ERROR - lstm_health_model.py:302 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/lstm_health_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 20:09:59,916 - models.transformer_genomic_model - ERROR - transformer_genomic_model.py:418 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/transformer_genomic_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 20:11:02,845 - api.routes.recommendations - ERROR - recommendations.py:177 - Error generating recommendations: 503: Fusion model not available. Please train models first.
2025-09-20 20:11:54,029 - models.lstm_health_model - ERROR - lstm_health_model.py:338 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/lstm_health_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 20:11:54,030 - models.transformer_genomic_model - ERROR - transformer_genomic_model.py:418 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/transformer_genomic_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 20:12:29,489 - models.lstm_health_model - ERROR - lstm_health_model.py:338 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/lstm_health_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 20:12:29,490 - models.transformer_genomic_model - ERROR - transformer_genomic_model.py:418 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/transformer_genomic_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 20:12:59,676 - models.lstm_health_model - ERROR - lstm_health_model.py:338 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/lstm_health_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 20:12:59,679 - models.transformer_genomic_model - ERROR - transformer_genomic_model.py:418 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/transformer_genomic_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 20:59:30,147 - models.lstm_health_model - ERROR - lstm_health_model.py:338 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/lstm_health_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 20:59:30,149 - models.transformer_genomic_model - ERROR - transformer_genomic_model.py:418 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/transformer_genomic_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 21:03:10,558 - api.routes.recommendations - ERROR - recommendations.py:181 - Error generating recommendations: 503: LSTM model not trained. Please run training first.
2025-09-20 21:25:20,561 - models.lstm_health_model - ERROR - lstm_health_model.py:338 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/lstm_health_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-20 21:25:20,562 - models.transformer_genomic_model - ERROR - transformer_genomic_model.py:418 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/transformer_genomic_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-25 03:05:45,162 - models.lstm_health_model - ERROR - lstm_health_model.py:338 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/lstm_health_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-25 03:05:45,163 - models.transformer_genomic_model - ERROR - transformer_genomic_model.py:418 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/transformer_genomic_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-25 03:07:35,771 - models.lstm_health_model - ERROR - lstm_health_model.py:338 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/lstm_health_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-25 03:07:35,773 - models.transformer_genomic_model - ERROR - transformer_genomic_model.py:418 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/transformer_genomic_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-25 03:08:16,806 - models.lstm_health_model - ERROR - lstm_health_model.py:338 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/lstm_health_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-25 03:08:16,807 - models.transformer_genomic_model - ERROR - transformer_genomic_model.py:418 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/transformer_genomic_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-25 03:09:45,014 - models.lstm_health_model - ERROR - lstm_health_model.py:338 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/lstm_health_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
2025-09-25 03:09:45,016 - models.transformer_genomic_model - ERROR - transformer_genomic_model.py:418 - Error loading model: [Errno 2] Unable to synchronously open file (unable to open file: name = './models/transformer_genomic_model.h5', errno = 2, error message = 'No such file or directory', flags = 0, o_flags = 0)
